open;high;low;close;volume;marketCap;timestamp
0.1698106149;0.170931029;0.1173029542;0.1374248196;42574.4934776382;0;"2020-08-15T23:59:59.999Z"
0.213635488;0.2481554887;0.2007014993;0.2264638332;47813.3046333269;6305258.9011297;"2020-08-20T23:59:59.999Z"
0.2167949468;0.2182266266;0.1684572268;0.2004436201;55781.2949599562;5604023.30105604;"2020-08-25T23:59:59.999Z"
0.2266122799;0.2536834928;0.2251154152;0.2392539349;45598.7558340518;6778349.281583019;"2020-08-30T23:59:59.999Z"
0.2116233216;0.2135479727;0.1573651278;0.1803156537;65234.574320068;5458814.637307289;"2020-09-04T23:59:59.999Z"
0.1526126112;0.1661906648;0.15048464;0.1653729722;27076.7330764412;5035164.4226600835;"2020-09-09T23:59:59.999Z"
0.1543715539;0.1565482911;0.1183970611;0.1216087618;87446.269330216;3735443.784309525;"2020-09-13T23:59:59.999Z"
0.138550535;0.1724506305;0.134641347;0.1532811387;334391.7784015582;4718843.366576234;"2020-09-18T23:59:59.999Z"
0.1157722368;0.1274729939;0.115526511;0.1211041102;53782.6723764704;3723452.3776416774;"2020-09-23T23:59:59.999Z"
0.111845697;0.1131857638;0.0801215112;0.1085418094;162438.2040318974;3411058.7095822985;"2020-09-28T23:59:59.999Z"
0.0986962852;0.1001135529;0.0974642192;0.0995434181;22559.8159455382;3125070.984631619;"2020-10-03T23:59:59.999Z"
0.099435335;0.1013350403;0.0973782861;0.1013350403;55426.1263026835;3207544.5642944123;"2020-10-08T23:59:59.999Z"
0.1100038447;0.1109039539;0.1051583127;0.1056218581;40676.3982925724;3332544.2003348847;"2020-10-13T23:59:59.999Z"
0.091398433;0.0915814634;0.0802659678;0.0812690449;28725.6421902415;2617740.244950286;"2020-10-18T23:59:59.999Z"
0.0974932702;0.0976822134;0.0898619465;0.0912615539;44738.4466883234;2957862.8356366833;"2020-10-23T23:59:59.999Z"
0.0913347465;0.0931607226;0.0856633556;0.0874364693;55296.6475932887;2821393.434493881;"2020-10-28T23:59:59.999Z"
0.0809837997;0.0833829545;0.0768529112;0.0790580558;56432.913443821;2594916.575231163;"2020-11-02T23:59:59.999Z"
0.0961257423;0.0976215965;0.0876139877;0.0897496574;50136.6794532994;2953233.124112879;"2020-11-07T23:59:59.999Z"
0.0927191301;0.101072789;0.0900690219;0.1010167721;77291.8440135271;3339083.779288672;"2020-11-12T23:59:59.999Z"
0.0859777106;0.0882758386;0.0758943893;0.083534607;107081.1954213404;2798844.5158177405;"2020-11-17T23:59:59.999Z"
0.0879472578;0.0927273576;0.0822856472;0.0882081863;62068.0373470212;2963763.811180383;"2020-11-22T23:59:59.999Z"
0.0735581422;0.0794290573;0.0708758832;0.07521956;28021.8009069168;2543538.4142929916;"2020-11-27T23:59:59.999Z"
0.0814039466;0.0867246311;0.0799447405;0.0828535214;32769.0764419233;2838274.990273286;"2020-12-02T23:59:59.999Z"
0.0797361226;0.0826004465;0.0790653917;0.0811409117;52318.1631092444;2777172.1674801284;"2020-12-07T23:59:59.999Z"
0.0736440418;0.0811726118;0.0736440418;0.0804345422;52684.5642494941;2761776.2919215835;"2020-12-12T23:59:59.999Z"
0.0773812885;0.0800364747;0.0607339487;0.0634371364;108480.264835501;2193919.932728086;"2020-12-17T23:59:59.999Z"
0.0606135857;0.06231906;0.0576345034;0.0596963299;20231.9162067074;2057367.6283397814;"2020-12-21T23:59:59.999Z"
0.0684475601;0.0755021249;0.0655318557;0.0680567676;56988.1829044588;2341069.8100232556;"2020-12-26T23:59:59.999Z"
0.0654309611;0.0674294251;0.0633293774;0.0658080828;38284.8002606547;2248423.229473349;"2020-12-31T23:59:59.999Z"
0.0736698796;0.077121122;0.0674375463;0.0757497311;14669.4039979391;2615463.009962766;"2021-01-05T23:59:59.999Z"
0.0902928116;0.0933800103;0.0800345089;0.0852604052;18579.3160394547;2923789.3475141865;"2021-01-10T23:59:59.999Z"
0.0863616613;0.0883212183;0.0768229227;0.081362316;17271.7821353335;2896775.228697651;"2021-01-15T23:59:59.999Z"
0.0780988667;0.0793258124;0.0730239472;0.0773957178;14969.1135364105;2805252.4127944666;"2021-01-20T23:59:59.999Z"
