open,high,low,close,volume,marketCap,timestamp
0,103.1012271811,112.6894915891,102.7213491759,110.3864314084,0,1229884098.5429447,2013-04-29
1,81.3179243839,82.7299145769,60.4971307641,74.5443453062,0,831161157.7759069,2013-05-03
2,83.8369146134,88.4289305578,83.8369146134,86.2963540213,0,966915935.2482215,2013-05-08
3,88.547852005,91.4264788551,88.2670366944,90.8516890166,0,1014660299.6066939,2013-05-13
4,96.1838006231,97.546728972,95.2492235606,96.1822438463,0,1074435004.5560749,2013-05-18
5,96.4099392974,98.3603239891,95.9320436987,98.0498351248,0,1104096123.7442567,2013-05-23
6,100.3402182575,101.1620714526,97.6064644654,100.4360012457,0,1118216945.0243564,2013-05-28
7,99.4998099667,99.5767555956,88.5340539067,94.114206416,0,1057204694.0361677,2013-06-02
8,89.8497101584,89.8316599985,80.5662791801,84.3738176315,0,948008940.0347406,2013-06-07
9,81.8871609947,83.9746113007,80.2028863538,81.053737185,0,916512547.8927203,2013-06-12
10,74.8146495363,76.5962223355,74.1962077494,76.1170548224,0,860794192.3163334,2013-06-17
11,83.4921845215,83.8398789796,81.9778878681,82.5772040044,0,934891595.5013343,2013-06-22
12,79.901659496,79.901659496,77.5604130987,77.812976726,0,883887540.6422864,2013-06-27
13,67.3783310773,70.6629942212,66.9753575205,69.4781489906,0,783656433.9225589,2013-07-02
14,53.5971002957,58.1962973708,51.9373218575,58.1962973708,0,661759553.2260076,2013-07-07
15,67.9955649372,79.7484855456,67.5912299649,71.6324062747,0,815860220.4111264,2013-07-12
16,73.5716995698,75.976593115,73.1629395293,75.099115584,0,856339292.5066565,2013-07-17
17,69.923235615,69.9126081759,68.280322397,69.4541323809,0,797247914.0381546,2013-07-22
18,72.3206322623,73.0549090507,70.0459441139,70.8864934205,0,813053925.4349627,2013-07-27
19,79.8654014862,81.5894840221,78.0031815742,78.7282361847,0,898733137.8299121,2013-08-01
20,80.500868387,80.6837506831,79.5935750313,80.2269652788,0,927131439.9939655,2013-08-06
21,77.0499198409,77.8743827956,76.7576102999,77.1998201169,0,890536594.9632739,2013-08-10
22,84.8691822815,85.159424535,82.531990611,82.3895115084,0,958610161.5396215,2013-08-15
23,89.2522313058,92.1361707639,88.1332057563,90.3234233781,0,1052898553.4988375,2013-08-20
24,89.3893847729,91.9185347621,89.0657684372,91.2229195137,0,1059192000.4334828,2013-08-25
25,92.4372910805,102.864287338,91.3821736131,100.9834370929,0,1172777625.4155333,2013-08-30
26,103.6595541563,109.6524510548,93.6155715013,96.0296998513,0,1121412282.666464,2013-09-04
27,92.5144250003,97.3817230503,90.7609519479,95.8886546548,0,1126697172.7907684,2013-09-09
